 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,56,0,0,0,48895,873.125,0,806.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3223,0,0,0,4583531,1422.132,0,1339.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1659,0,0,0,1878704,1132.432,0,1088.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,49,0,0,0,41695,850.918,0,858.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4703,0,0,0,6009777,1277.860,0,1134.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1552,0,0,0,1795368,1156.809,0,1035.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6824,0,0,0,8822106,1292.806,0,1183.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3173,0,0,0,4558990,1436.807,0,1339.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1757,0,0,0,2110354,1201.112,0,1133.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2705,0,0,0,3766999,1392.606,0,1277.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3029,0,0,0,6807122,2247.317,0,2013.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1412,0,0,0,2099030,1486.565,0,1333.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,8060,0,0,0,13511968,1676.423,0,1571.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1726,0,0,0,2908453,1685.083,0,1507.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1153,0,0,0,1527833,1325.094,0,1271.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1660,0,0,0,2564779,1545.048,0,1422.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1791,0,0,0,4106943,2293.101,0,2130.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,14976,0,0,0,21386194,1428.031,0,1318.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1380,0,0,0,1706117,1236.317,0,1180.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1784,0,0,0,2699223,1513.017,0,1391.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1729,0,0,0,2744715,1587.458,0,1477.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1674,0,0,0,1883189,1124.964,0,1034.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1885,0,0,0,2434111,1291.306,0,1141.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1609,0,0,0,1945405,1209.077,0,1152.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3482,0,0,0,5272253,1514.145,0,1435.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
